EMPLOYEE_ID,BONUS,FIRST_NAME,STORE_ID,PRODUCT,SUBCATEGORIES,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,RESIGNATION_DATE,JOB_ID,SALES_ORDERID,LOCATION,SALARY,COMMISSION_PCT,MANAGER_ID,MANAGER,MALAST_NAME,DEPARTMENT_ID,DEPARTMENT,DEPARTMENT_NAME,YEAR,VENDOR,CITY,THE_OUTPUT,STREET_ADDRESS
120,NULL,Matthew,NULL,NULL,NULL,Weiss,MWEISS,650.123.1234,18-Jul-04,NULL,ST_MAN,NULL,NULL,8000," - ",100,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,NULL,Adam,NULL,NULL,NULL,Fripp,AFRIPP,650.123.2234,10-Apr-05,NULL,ST_MAN,NULL,NULL,8200," - ",100,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,NULL,Payam,NULL,NULL,NULL,Kaufling,PKAUFLIN,650.123.3234,01-May-03,NULL,ST_MAN,NULL,NULL,7900," - ",100,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,NULL,Shanta,NULL,NULL,NULL,Vollman,SVOLLMAN,650.123.4234,10-Oct-05,NULL,ST_MAN,NULL,NULL,6500," - ",100,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,NULL,Kevin,NULL,NULL,NULL,Mourgos,KMOURGOS,650.123.5234,16-Nov-07,NULL,ST_MAN,NULL,NULL,5800," - ",100,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,NULL,Julia,NULL,NULL,NULL,Nayer,JNAYER,650.124.1214,16-Jul-05,NULL,ST_CLERK,NULL,NULL,3200," - ",120,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,NULL,Irene,NULL,NULL,NULL,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,NULL,ST_CLERK,NULL,NULL,2700," - ",120,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,NULL,James,NULL,NULL,NULL,Landry,JLANDRY,650.124.1334,14-Jan-07,NULL,ST_CLERK,NULL,NULL,2400," - ",120,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,NULL,Steven,NULL,NULL,NULL,Markle,SMARKLE,650.124.1434,08-Mar-08,NULL,ST_CLERK,NULL,NULL,2200," - ",120,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,NULL,Laura,NULL,NULL,NULL,Bissot,LBISSOT,650.124.5234,20-Aug-05,NULL,ST_CLERK,NULL,NULL,3300," - ",121,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,NULL,Mozhe,NULL,NULL,NULL,Atkinson,MATKINSO,650.124.6234,30-Oct-05,NULL,ST_CLERK,NULL,NULL,2800," - ",121,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,NULL,James,NULL,NULL,NULL,Marlow,JAMRLOW,650.124.7234,16-Feb-05,NULL,ST_CLERK,NULL,NULL,2500," - ",121,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,NULL,TJ,NULL,NULL,NULL,Olson,TJOLSON,650.124.8234,10-Apr-07,NULL,ST_CLERK,NULL,NULL,2100," - ",121,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,NULL,Jason,NULL,NULL,NULL,Mallin,JMALLIN,650.127.1934,14-Jun-04,NULL,ST_CLERK,NULL,NULL,3300," - ",122,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,NULL,Michael,NULL,NULL,NULL,Rogers,MROGERS,650.127.1834,26-Aug-06,NULL,ST_CLERK,NULL,NULL,2900," - ",122,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,NULL,Ki,NULL,NULL,NULL,Gee,KGEE,650.127.1734,12-Dec-07,NULL,ST_CLERK,NULL,NULL,2400," - ",122,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,NULL,Hazel,NULL,NULL,NULL,Philtanker,HPHILTAN,650.127.1634,06-Feb-08,NULL,ST_CLERK,NULL,NULL,2200," - ",122,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,NULL,Renske,NULL,NULL,NULL,Ladwig,RLADWIG,650.121.1234,14-Jul-03,NULL,ST_CLERK,NULL,NULL,3600," - ",123,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,NULL,Stephen,NULL,NULL,NULL,Stiles,SSTILES,650.121.2034,26-Oct-05,NULL,ST_CLERK,NULL,NULL,3200," - ",123,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,NULL,John,NULL,NULL,NULL,Seo,JSEO,650.121.2019,12-Feb-06,NULL,ST_CLERK,NULL,NULL,2700," - ",123,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,NULL,Joshua,NULL,NULL,NULL,Patel,JPATEL,650.121.1834,06-Apr-06,NULL,ST_CLERK,NULL,NULL,2500," - ",123,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,NULL,TRENNA,NULL,NULL,NULL,OConnell,DOCONNEL,650.507.9833,21-Jun-07,NULL,SH_CLERK,NULL,NULL,2600," - ",124,NULL,NULL,50,NULL,NULL,NULL,NULL,NAGPUR,NULL,NULL
199,NULL,Douglas,NULL,NULL,NULL,Grant,DGRANT,650.507.9844,13-Jan-08,NULL,SH_CLERK,NULL,NULL,2600," - ",124,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,NULL,Jennifer,NULL,NULL,NULL,Whalen,JWHALEN,515.123.4444,17-Sep-03,NULL,AD_ASST,NULL,NULL,4400," - ",101,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,NULL,Michael,NULL,NULL,NULL,Hartstein,MHARTSTE,515.123.5555,17-Feb-04,NULL,MK_MAN,NULL,NULL,13000," - ",100,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,NULL,Pat,NULL,NULL,NULL,Fay,PFAY,603.123.6666,17-Aug-05,NULL,MK_REP,NULL,NULL,6000," - ",201,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,NULL,Susan,NULL,NULL,NULL,Mavris,SMAVRIS,515.123.7777,07-Jun-02,NULL,HR_REP,NULL,NULL,6500," - ",101,NULL,NULL,40,NULL,NULL,NULL,NULL,RIG,NULL,NULL
204,NULL,Hermann,NULL,NULL,NULL,Baer,HBAER,515.123.8888,07-Jun-02,NULL,PR_REP,NULL,NULL,10000," - ",101,NULL,NULL,70,NULL,NULL,NULL,NULL,KANPUR,NULL,NULL
205,NULL,Shelley,NULL,NULL,NULL,Higgins,SHIGGINS,515.123.8080,07-Jun-02,NULL,AC_MGR,NULL,NULL,12008," - ",101,NULL,NULL,110,NULL,NULL,NULL,NULL,SULTANPUR,NULL,NULL
206,NULL,William,NULL,NULL,NULL,Gietz,WGIETZ,515.123.8181,07-Jun-02,NULL,AC_ACCOUNT,NULL,NULL,8300," - ",205,NULL,NULL,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL
